PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,PEOPLE_DEATH_NEW_COUNT,COUNTRY_SHORT_NAME,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
56349,5/25/20,34,Pakistan,1748,1167
1141,5/25/20,0,Sri Lanka,52,9
22271,5/25/20,21,Indonesia,526,1372
17265,5/25/20,29,Egypt,652,764
33610,5/25/20,28,Bangladesh,1532,480
138845,5/25/20,154,India,6977,4021
363211,5/25/20,653,Brazil,15813,22666
16613,5/24/20,28,Egypt,827,735
32078,5/24/20,20,Bangladesh,1873,452
1089,5/24/20,0,Sri Lanka,21,9
131868,5/24/20,147,India,6767,3867
347398,5/24/20,965,Brazil,16508,22013
21745,5/24/20,25,Indonesia,949,1351
54601,5/24/20,32,Pakistan,2164,1133
30205,5/23/20,24,Bangladesh,1694,432
20796,5/23/20,48,Indonesia,634,1326
125101,5/23/20,137,India,6654,3720
330890,5/23/20,1001,Brazil,20803,21048
1068,5/23/20,0,Sri Lanka,13,9
15786,5/23/20,11,Egypt,783,707
52437,5/23/20,34,Pakistan,1743,1101
50694,5/22/20,50,Pakistan,2603,1067
20162,5/22/20,36,Indonesia,973,1278
310087,5/22/20,1188,Brazil,18508,20047
118447,5/22/20,148,India,6088,3583
1055,5/22/20,0,Sri Lanka,27,9
28511,5/22/20,22,Bangladesh,1773,408
15003,5/22/20,16,Egypt,774,696
48091,5/21/20,32,Pakistan,2193,1017
1028,5/21/20,0,Sri Lanka,1,9
291579,5/21/20,888,Brazil,19951,18859
26738,5/21/20,16,Bangladesh,1617,386
112359,5/21/20,132,India,5609,3435
19189,5/21/20,21,Indonesia,693,1242
14229,5/21/20,21,Egypt,745,680
13484,5/20/20,14,Egypt,720,659
25121,5/20/20,21,Bangladesh,1251,370
45898,5/20/20,46,Pakistan,1932,985
18496,5/20/20,30,Indonesia,486,1221
106750,5/20/20,140,India,5611,3303
1027,5/20/20,0,Sri Lanka,35,9
271628,5/20/20,1179,Brazil,17408,17971
992,5/19/20,0,Sri Lanka,11,9
43966,5/19/20,36,Pakistan,1841,939
18010,5/19/20,43,Indonesia,496,1191
12764,5/19/20,15,Egypt,535,645
23870,5/19/20,21,Bangladesh,1602,349
101139,5/19/20,134,India,4970,3163
